Meadow Life Site Ref,Farm,Field number (RLR),NGR,Area,Easting,Northing,Surveyor's name(s),restdate,resttype,Date,Agrostis capillaris,Agrostis stolonifera,Agrostis spp,Alopecurus geniculatus,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Avenula pratense,Avenula pubescens,Briza media,Bromus hordaceus,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elymus repens,Festuca ovina,Festuca rubra,Festulolium loliaceum,Festuca sp (rubra or ovina),Glyceria fluitans,Holcus lanatus,Holcus mollis,Lolium perenne,Molinia caerulea,Phleum bertolonii,Phleum pratense,Poa annua,Poa pratensis,Poa spp,Poa trivialis,Schedonorus pratensis,Trisetum flavescens,Vulpia bromoides,Achillea millefolium,Achillea ptarmica,Ajuga reptans,Alchemilla glabra,Alchemilla xanthochlora,Alchemilla sp,Anemone nemorosa,Anthriscus sylvestris,Bellis perennis,Caltha palustris,Campanula rotundifolia,Cardamine flexuosa,Cardamine pratensis,Carex caryophyllea,Carex disticha,Carex flacca,Carex hirta,Carex nigra,Carex spp,Carex ovalis,Carex panicea,Centaurea nigra,Cerastium fontanum,Cerastium glomeratum,Cirsium arvense,Cirsium heterophyllum,Cirsium palustre,Cirsium vulgare,Conopodium majus,Crepis capillaris,Crepis paludosa,Cruciata laevipes,Dactylorhiza fuchsii,Digitalis purpurea,Epilobium parviflorum,Equisetum arvense,Equisetum sylvaticum,Euphrasia agg.,Filipendula ulmaria,Galium aparine,Galium mollugo,Galium odoratum,Galium palustre,Galium saxatile,Galium spp,Gallium verum,Geranium pratense,Geranium sylvaticum,Heracleum sphondylium,Hieracium pilosella,Hyacinthoides non scripta,Hypochaeris radicata,Juncus acutiflorus,Juncus articulatus,Juncus bufonius,Juncus conglomeratus,Juncus effusus,Juncus inflexus,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Leucanthemum vulgare,Listera ovata,Lotus corniculatus,Lotus pedunculatus,Luzula campestris,Luzula multiflora,Lychnis flos-cuculi,Medicago spp,Montia fontana,Myrrhis odorata,Myosotis arvensis,Myosotis discolor,Ophioglossum vulgatum,Persicaria bistorta,Plantago lanceolata,Plantago major,Potentilla erecta,Primula veris,Prunella vulgaris,Pteridium aquilinum,Ranunculus acris,Ranunculus bulbosus,Ranunculus ficaria,Ranunculus repens,Rhinanthus minor,Rumex acetosa,Rumex crispus,Rumex obtusifolius,Sanguisorba officinalis,Senecio jacobea,Silene dioica,Sonchus oleraceus,Stachys officianalis,Stellaria alsine,Stellaria graminea,Stellaria holostea,Stellaria media,Succisa pratensis,Taraxacum agg.,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Tussilago farfara,Urtica dioica,Veronica agrestis,Veronica arvensis,Veronica chamaedrys,Veronica filiformis,Veronica officinalis,Veronica serpyllifolia,Veronica spp,Veronica persica,Vicia cracca,Vicia sepium,Viola spp
NY60-Mazonwath 1,high green lane,ny6808 9236,ny68917 08357,North Lakes,368917,508357,claire cornish,,,25/05/2012,,,,,40,100,,,,,90,,10,,,,60,,,,100,,100,,,10,,10,,80,,,,,,,10,,,,,100,,,40,40,,,,,,,,,,100,100,,,,,10,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,90,,,20,,,,,,100,,40,80,100,100,,,10,,,,,,,,10,,80,,30,30,100,,,100,,50,,,60,,,,,
NY60-Mazonwath 2,High Green Lane,NY6908 0531,ny69046 08306,North Lakes,369046,508306,claire cornish,,,27/05/2011,,,,10,50,80,,,,,,,40,,,,60,,,,90,,100,,,20,,,,30,,,,,,,10,,,,,90,,,,,,,,,,,,,,100,80,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,90,,100,,10,20,,,,,,,,,,40,,,10,80,,,,,50,,,,,,,,
NY60-Mazonwath 2,High Green Lane,NY6908 0531,ny69046 08306,North Lakes,369046,508306,claire cornish,,,25/05/2012,,,,10,40,100,,,,,90,,30,,,,,,,,100,,100,,,60,,,,100,,,,,,,,,,,,100,,,80,70,,,,,,,,,,100,90,,,,,20,,,,,,,,,,40,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,,,10,,,100,,,30,,,,,,100,,10,100,90,100,,20,50,,,,,,,,10,,60,,,50,100,,,50,,40,,,100,,,,,
NY61-Coat Flatt,Coat Flatt,NY6205 1184,ny62112 05837,North Lakes,362112,505837,david cole,,,26/06/2008,89,5,,,78,94,33,,,,,28,39,,,,100,,,,100,,22,,,5,,,,72,,28,,28,,,50,61,,,5,,,,,11,,,,,,,,,,11,,11,,,,22,,,,,,,,,,5,,,,,,,,22,94,,,,,,,,,,,67,,,28,,,,5,,,,,,,17,,22,100,,,,,,100,,,11,11,78,,,61,,,,,,,,,,28,,,61,44,,,,,44,,,,,,5,50,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,martin holdgate,,,03/07/2011,,,25,,,,,,,,,,,,,,25,,,,5,,25,,,,25,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,25,,,,,,5,,,,,,,,,,25,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,5,25,,5,,,,,,,,,,,,,,25,,,5,,,,,,,,,,25,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,helga frankland,,,10/06/1997,,,,,75,50,50,,,,75,,50,,,,,,,,75,,75,,,,,,,75,,,,,,,,,,,75,50,,,,50,,,,,,,,,75,50,,25,,,,,,,,,,,,,,75,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,75,,,75,,,,25,25,,,,,,,,,,50,,,75,50,,25,,,50,,,,,,25,75,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,john o reilly,,,01/07/2007,,,,,,,,,,,50,100,,,,,75,,,,100,,100,,,,,,,100,,5,,,,,,,,,100,25,,,,,,,,,,,,,5,50,,5,,,,,,,,,,,,,,25,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,75,,,,,,100,,,25,5,50,,,,,,,,,,,,,5,,,100,100,,5,,,25,,,,,,5,25,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,martin holdgate,,,03/07/2011,,,,,,,,,,,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,50,,,,,,,,,,,,,,,,25,50,,5,,,5,,,,,,,5,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,helga frankland,,,10/06/1997,,,,,50,75,,,,,50,75,,,,,50,,,,50,,,,,,,,50,,50,,,,,,,,,,,50,,,,50,,,,,,,,,,50,,25,,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,75,,,75,,50,,,,,,,,,50,,,,50,,,50,50,,,,,50,,,,,,,,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,john o reilly,,,01/07/2007,,,,,75,50,,,,,25,75,,5,,,100,,,,100,,100,,,,,,,75,,5,,,,,,,,,5,,,,,5,,,,,,,,,,50,,5,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,50,,,75,5,100,,5,,,,,,,,,,,,,,5,,,5,,,5,,,,,,,5,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,martin holdgate,,,03/07/2011,,,,,,25,,,,,25,,25,,,,50,,,,25,,50,,,5,,,50,,,25,,,,,,,,,5,5,,,,,,,,,,,,,,25,,5,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,74,,,25,50,50,,,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,25,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,martin holdgate,,,13/07/2012,,,,,,25,,,,,25,25,50,,,,,,,,75,,50,,,50,,,,25,,25,,,,,,,,,5,,,,,,,,,,,,,,,25,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,50,,,,,,25,25,,5,25,25,,,,,,,,,25,,,,,,,25,25,,5,,,5,,,,,,,5,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,helga frankland,,,10/06/1997,,,,,50,,,,,,100,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,50,50,,,,25,,,,,,,,,25,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,50,,,,,,,,,75,,,50,,50,,,,,,,,,,,,,75,,,75,75,,50,,,50,,,,,,,75,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,john o reilly,,,01/07/2007,,,,,100,,,,,,100,,,,,,,,,,100,,100,,,5,,,,100,,5,,,,,,,,,50,,,,,,,,,,,,,,,75,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,50,,,,,,100,,,25,50,50,,,,,,,,,,,,,,,,50,100,,,,,25,,,,,,,5,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,martin holdgate,,,03/07/2011,,,,,,25,,,,,,,,,,,50,,,,5,,50,,,25,,,,,,25,,,,,,,,,5,,,,,,,,,,,,,,,50,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,50,50,,,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,25,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,helga frankland,,,10/06/1997,,,,,50,,,,,,100,,50,,,,,,,,25,,50,,,,,,,,,,,,,,,,,,50,50,,,,50,,,,,,,,,,75,,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,50,,,50,25,,,,,,,,,,,,,,50,,,,,,25,,,50,,,,,,,50,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,john o reilly,,,01/07/2007,,,,,75,25,,,,,100,,,,,,100,,,,75,,100,,,,,,,100,,100,,,,,,,,,50,25,,,,5,,,,,,,,,,50,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,100,,,50,75,100,,,,,,,,,,,,,5,,,100,,,,,,5,,,,,,,25,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,martin holdgate,,,13/07/2012,,,,,25,,,,,,25,,5,,,,,,,,50,,25,,,25,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,25,25,,5,5,5,,,,,,,,,25,,,,5,,,25,25,,,,,5,,,,,,,25,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,30/06/2010,11,,,22,55,55,,,,,,22,22,,,,22,,,,44,,100,,,88,,,,100,,22,,,,,,,,,,100,,,,11,,,,,,,,,,33,100,,,,,11,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,88,,,100,100,88,,,,,,,,11,,,,,22,,,88,88,,,,,,,,,,,,,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,25/06/2012,,,,20,60,90,,,,,90,90,10,,,,20,,,,50,,90,,,50,,40,,,,10,,,,,,,,,20,80,,,,20,,,,10,,,,,,90,70,,,,,10,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,10,,,60,,,40,,,,,,90,,,100,90,80,20,10,,,,,,,,,,,20,,,100,100,,,,20,,,,,,,,,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,18/06/2008,,,,,40,70,,,,,100,,20,,,,,10,10,,90,,100,,,50,,,,80,,10,,10,,,,,,,10,100,,,,,,,,,,,,,,60,100,10,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,60,,,20,,,,,,70,,,90,100,,,30,,,,,,,,,10,,50,,,50,80,,,10,,,,,20,,,,,
NY70-Kilnmire 1,Kilnmire,NY7102 6597,ny71645 02971,North Lakes,371645,502971,claire cornish,,,,67,,,67,42,100,,,,,,58,8,,,,8,,,,100,,100,,,8,,58,,,75,8,,,,,,,,,8,33,42,,,,,,,,,,,,,8,,,,,,,,,,,,,,,17,17,,,,,,,,,25,,,,,,,,,,,,92,,,,,,,,,,,,,8,,,33,,,,,,100,,,100,100,83,,8,83,,,,,,,,,,8,,,100,100,,,,,,,,,,,,,
NY70-Kilnmire 2,kilnmire,ny7203 0922,ny72088 03207,North Lakes,372088,503207,claire cornish,,,10/07/2008,62,,,15,46,100,,,,,23,38,7,,,,,,,,100,,100,,,15,,,,85,23,,,,,,,,,,,15,31,,,,,,,,,,,,7,23,15,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,38,100,,,,,,,,,,,,,33,,,77,,,,,,100,,,100,100,69,,,69,,,,,,,,,,7,,,85,69,,,,,,,,,,,,,
NY70-New Close,Whin Gill,ny7909 0542,ny79027 09394,Pennines,379027,509394,martin holdgate,,,03/07/2011,,,,,,,,,,,25,5,5,,,,25,,,,5,,50,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,,5,,,5,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,
NY70-New Close Meadow,Whin Gill,ny79090542,ny79027 09394,Pennines,379027,509394,helga frankland,,,14/07/1995,,,,,,,100,100,,,,,,,,,,,50,,100,,100,,,50,,,,,,,,50,,,,,,,75,,,,,,,,,,,,,,,100,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,100,,,,,,25,,,,,75,,,,,,,,,,,,,,,,50,50,,,,,50,,,,,,,,
NY70-New Close Meadow,Whin Gill,ny79090542,ny79027 09394,Pennines,379027,509394,john o reilly,,,01/07/2007,,,,,5,,,,25,,50,100,5,,,,100,,,,75,,75,,,,,,,25,5,50,,,,,,,,,50,50,,,,5,,,,,,,,,,100,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,75,,,,,,100,,,25,50,100,,,,,,,,,,,,,,,,75,100,,5,,,25,,,,,,,5,
NY70-Rowfoot 2,Row Foot,NY7202 7389,NY72932 02890,North Lakes,372932,502890,diane dobson,,,13/07/2006,100,90,,30,,70,,,,,,90,,,,,40,,,10,10,,90,,,,,,,90,10,,,,,,,,,,,10,,,,,,,,,,,10,,,50,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,10,,,,,,90,,,20,,70,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
NY70-Shady Hill,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,martin holdagte,,,03/07/2011,,,,,,,,,,,,,50,,,,25,,,,25,,50,,,25,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,25,,,,,,25,,,,,,,,,,5,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,5,25,,5,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,5,
NY70-Shady Hill Meadow,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,helga frankland,,,10/06/1997,,,,,50,50,75,,,,,50,50,,,,75,,,,50,,75,,,,,,,50,,,,25,,,,,,,50,50,,,,50,,,,,,,,,,75,,25,,,,50,,,,,,,,,,50,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,75,,75,,25,,25,,,,,,,,,75,,,,25,,25,,50,75,,,,,,,50,
NY70-Shady Hill Meadow,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,john o reilly,,,01/07/2007,,,,,50,,25,,,,75,,50,,,,,,,,100,,100,,,,,,,100,,5,,,,,,,,,50,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,100,,,50,5,100,,5,,,,,,,,,,,,,,25,50,,5,,,5,,,,,,,5,
NY70-Wharton Hall 1,Wharton hall,NY7604 9314,ny76926 04130,Pennines,376926,504130,claire cornish,,,01/07/2011,,,,,70,60,,,,,,,40,,,,10,,,,40,,100,,,,,,,20,,,,,,,,,,,20,40,,,,50,,,,,,,,,,40,10,10,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,,100,10,,60,,100,,,,,,,,,,,,,,,,20,90,,,,,,,,10,,,,,
NY70-Wharton Hall 4,Wharton hall,NY7704 0811,ny77085 04100,Pennines,377085,504100,claire cornish,,,01/07/2011,,,,,44,88,,,,,,22,,,,,44,,,,56,,88,,,11,,,,,,,,,,,,,,,22,33,,,,78,,11,,,,,,,,78,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,33,,,,11,,88,,11,,,88,,,,,,,,,,,,,56,,,22,88,,,,,,,,33,,,,,
NY70-Whygill Head 1,low whygill head,ny70103215,ny70100 32150,Pennines,370100,532150,claire cornish,,,28/05/2012,,,,,10,90,,,,,100,40,70,,,,80,,,,90,,100,,,10,,,,20,,,,,,,,,,,90,100,,,,10,,,,,,,,,,100,,,,,,40,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,30,,,100,,,,,,100,40,,20,100,100,,,,,,,,,,,10,,10,,20,70,100,,,,,60,,,20,,,,,
NY70-Whygill Head 1,low whygill head,ny7010 3215,ny70100 32150,Pennines,370100,532150,claire cornish,,,16/06/2008,,,,,25,,,,,,100,25,25,,,,,,5,,50,,75,,,5,,,,75,,5,,,,,,,,,5,5,,,,,,,,,,,,,,50,,,,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,5,,,,,,,,,25,,,,,25,,,,,,50,,,,,5,,,5,,,,,,,,,,,,,25,75,,,,5,25,,,,,,,25,
NY70-WhygIll Head 2,low whygill head,ny7010 3918,ny70100 39180,Pennines,370100,539180,claire cornish,,,28/05/2012,,,,10,30,80,,,,,40,20,80,,,,20,,20,,80,,80,,,10,20,10,,50,,,,10,,,20,10,,,60,100,,,,10,,,,,,,,,,100,20,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,40,,,,,,100,,,10,100,100,,,,,,,,,,,,,40,,30,20,100,,,,,20,,,100,,,,,
NY70-Whygill Head 2,low whygill head,ny7010 3918,ny70100 39180,Pennines,370100,539180,david cole,,,16/06/2008,,,,,25,25,,,,,75,75,25,,,,25,,,,,25,75,,,,5,,,50,,25,,,,,,,,,50,50,,,,,,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,5,25,,,,,,,,,,,,,,,,25,50,,,,,25,,,,,,,,
NY70-Whygill Head 2,low whygill head,ny7010 3918,ny70100 39180,Pennines,370100,539180,claire cornish,,,02/06/2010,71,,,,29,43,,,,,100,43,71,,,,71,,,,86,,100,,,,,,,43,,86,,,,,,,,,43,100,,,,,,,,,,,,,,86,,,,,,14,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,29,86,,,,,,,,,,,,,14,,29,,100,,,,,14,,,,,,,,
NY70-Whygill Head 3,low whygill head,ny70103986,ny70100 39860,Pennines,370100,539860,claire cornish,,,01/07/2012,,,,,30,70,,,,,100,20,40,,,,,,50,,100,,100,,,,,,,,,,20,,,,10,,,,50,100,,,,10,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,60,,,50,,,,,,100,,,50,100,90,,10,,,,,,,,,,,80,,60,20,100,,,,90,,,,30,,,,,
NY70-Whygill Head 3,low whygill head,ny70103986,ny70100 39860,Pennines,370100,539860,claire cornish & david cole,,,16/06/2008,,,,,60,20,,,,,100,20,10,,,,,,,,50,,100,,,,10,10,,70,,,,,,,,,,,100,90,,,,,,,,,,,,,,70,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,80,,,,,,,,,,,40,,,,,,,,,90,,,60,20,100,,30,,,,,,,,,,,40,,30,10,80,,,,,30,,,,,,,,
NY70-Whygill Head 3,low whygill head,ny70103986,ny70100 39860,Pennines,370100,539860,claire cornish,,,02/06/2010,25,,,,50,25,12,,,,88,13,38,,,,,,,,88,,100,,,13,,,,38,,,,,,,,,,,88,100,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,100,,,12,100,100,,,,,,,,,,,12,,25,,13,,88,,,,,,,,,38,,,,
NY75-Piper Hole 3,Piper Hole,NY7203 8029,NY72794 03280,Pennines,372794,503280,a.n. other,,,17/06/1993,100,,,,,100,,,,,,100,100,,,,100,,,,100,100,,,,25,,,,100,,75,,,,,25,50,,,100,100,,,,100,,,,,,,,,50,100,,,50,,,50,,,,,,,,,,75,,,,,,,,25,75,,,,25,,,,,,,,,25,,,,,,,,,,,,25,,,100,,,,,,100,,50,25,100,100,,,100,,,,,,,,,,75,,,25,100,,,,,,,,,,,,75,
NY75-Piper Hole 3,Piper Hole,NY7203 8029,NY72794 03280,Pennines,372794,503280,a.n. other,,,27/06/1989,100,,,,33,100,,,,,,100,100,,,,100,,,,100,100,,,,33,,33,,100,33,100,,,,,,,,,100,100,,,,,,,,,,,,,,100,,,66,,,33,,,,,,,,,,66,,,,,,,,33,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,,66,,,,,,100,,,33,100,100,,,100,,,,,,,,,,33,,,33,100,,,,,,,,,,,,100,
NY75-Piper Hole 3,Piper Hole,NY7203 8029,NY72794 03280,Pennines,372794,503280,a.n. other,,,16/06/1987,75,,,,75,100,25,,,,,75,100,,,,100,75,,,100,100,,,,25,,25,,100,,50,,,,,,50,,,75,100,,,,75,,,,,,,,,,100,,,50,,,75,,,,,,,,,,75,,,,,,,,75,75,,,,25,,,,,,,25,,25,,,,,,,,,,,,75,,,75,,,,,,100,,100,25,100,100,,,100,,,,,,,,,,100,,,50,100,,,,,,,,,,,,100,
SD29-Lambgarth,Lamb Garth,,sd24012 90260,South Lakes,324012,490260,claire cornish,,,27/07/2010,100,,,,,50,10,,,,,100,10,,,,30,,,,50,,100,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,10,100,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,30,,,,,,,10,,10,30,,,10,,,,,,,,,,,100,,,,10,,100,,,50,80,100,,,,,,,,,,,,,,,30,80,50,,,,,,,,,,,,,
SD29-Lambgarth,Lamb Garth,,sd24012 90260,South Lakes,324012,490260,diane dobson,,,01/07/2008,100,10,,,30,100,,,,,,100,40,,,,20,,,,100,,100,,,,,,,50,,,,,,,,,,,,10,,,,10,,,,,,,,,,20,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,20,,,,,,,,,,10,,,,,,,,,,,,,,60,,,,10,,100,,,10,40,100,,,,,,,,,,,,,10,,,20,60,,,,,,,,,,,,,
SD29-Lambgarth,Lamb Garth,,sd24012 90260,South Lakes,324012,490260,diane dobson,,,13/07/2006,100,70,,,,100,,,,,,60,10,,,,30,,,,100,,100,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,100,,,10,,90,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
SD49-Staveley 1,Far Park,sd49797 3689,sd47350 97900,South Lakes,347350,497900,janet ashton claire cornish,,,04/06/2009,80,,,,20,100,,,,,10,10,70,,,,20,,,,100,,90,,,,,,,60,,,,70,,,,,,,10,20,,,,90,,,,,,,,,10,100,10,,,,,50,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,50,,,,,,100,10,,90,,100,,30,10,,,,,,,,,,50,,,20,100,,,,,,,,10,,50,,10,
SD49-Staveley 1,Far Park,SD4797 3689,sd47314 97947,South Lakes,347314,497947,janet ashton,,,18/07/2011,100,,,,,100,,,,,,25,16,,,,,,,,100,,75,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,16,88,,,,,,,8,,,,,,,,75,,,,,,,,,,,,,,56,,,,,,,,100,,16,,,,,,,,,,,,,,75,8,,,33,,88,,,56,100,72,,16,16,,,,,,16,,,,75,,16,56,80,,,,16,16,,,,,,,,
SD49-Staveley 1,far park,sd4797 3689,sd47314 97947,South Lakes,347314,497947,claire cornish and sarah johnson,,,30/05/2012,20,,,,60,100,,,,,,70,30,,,,30,,,,100,,80,,,,10,,,10,,,,60,,,,10,,,,10,,,,50,,,,,,,,,30,100,30,,,,,20,20,,,,,,,,80,10,,,,,,,,,,,,,40,,,10,,,,10,100,,40,,,10,,,,,10,,,30,,,70,,,,20,,100,10,20,80,90,100,,10,50,10,,,,,,,,,60,,20,60,100,,,,20,,,,30,,,,,
SD49-Staveley 2,Far Park,SD4797 7683,sd47760 97830,South Lakes,347760,497830,janet ashton,,,04/06/2009,100,,,,25,100,8,,,,,25,50,,,,,,75,,100,,66,,,,,16,,42,,,,25,,,,,,,,,,,,33,,,,,,,,,8,100,,,,,,83,,,,,,,,,25,8,,,,,,,,,,,,16,,,,,,8,,,83,,,,,,8,,,,,,,,,,41,,,,,,92,16,8,83,83,92,,33,16,,,,,,8,,,,25,,,50,100,,,,,33,,,,,16,,,
SD49-Staveley 2,Far Park,SD4797 7683,sd47760 97830,South Lakes,347760,497830,janet ashton,,,20/07/2011,100,,,,,100,,,,,,10,20,,,,,,,,100,,20,,,,,,,50,,,,20,,,,,,,,,,,,30,,,,,,,,,,100,,,,,,,50,,,,,,,,90,,,,,,,,,,,,,,60,,,,,,,,90,,10,,,,,,,,,,,,,,60,,,,10,,90,,,20,90,100,,10,20,,,,,,,,,,40,,,90,100,,,10,,20,,,,,,,,
SD49-Staveley 2,far park,sd4797 7683,sd47729 97824,South Lakes,347729,497824,claire cornish,,,13/06/2012,30,,,,,100,,,,,,20,30,,,,80,,,,100,,30,,,,,,,10,,,,30,,,,10,,,,,,,,10,,,,,,,,,20,80,,,,,,60,10,,,,,,,,100,,,,,,,,,,,10,,,50,,,,,,,,90,,10,,,,,,,,,,,,,,50,,,,10,,100,,,10,100,100,,,20,,,,,,,,,,50,,,40,90,,,,10,,,,,,,,,
SD49-Staveley 3,far park,sd4798 2940,sd47288 98431,South Lakes,347288,498431,Brendan burley and sarah johnson,,,12/06/2012,100,,,,40,40,,,,,10,10,90,,,,80,,,,100,,10,,,,,,,70,,,,30,,,,,,,,,,,,70,,,,,,,,,,70,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,80,,,,,,,,,,,,,,20,,,,,,,10,,,100,,,,,,100,,,80,80,100,,,,,,,,,,,,,100,,10,,10,,,,,30,,,30,,,,,
SD49-Staveley 4,Far Park,SD4798 2733,SD47980 27330,South Lakes,347980,427330,claire cornish,,,Jul-10,75,,,,50,75,,,,,,,5,,,,,,,,75,,,,,25,,5,,,,5,,5,,,,,,,25,,,,,,,,,,,,,,25,25,,5,,,,,,,,,,,,,5,5,,,,,,,,,,5,,,50,,,,,,,,5,,25,,,,,,,,,,,,,,50,,,,5,,25,,,5,50,,,5,5,,,,,,,,,,25,,,50,,,,,,,,,,,,,,
SD49-Staveley 5,Far Park,sd4798 6717,sd47671 98159,South Lakes,347671,498159,janet ashton,,,08/06/2009,100,,,,69,100,,,,,,,54,,,,,,46,,85,,61,,,,,,,77,,,,38,,,,,,,,8,,,,69,,,,,,,8,,,100,,,,,,54,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,30,,,,,,100,,,100,100,100,,,8,,,,,,,,,,85,,,23,77,,,,,77,,,,,,,,
SD59-Sprint Mill 1,Sprint Mill,sd5295 0295,sd52032 95950,South Lakes,352032,495950,claire cornish,,,06/08/2009,100,,,,80,100,,,,,40,80,20,,,,20,,,,100,,80,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,80,,,,,,100,,,80,80,100,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,
SD59-Sprint Mill 2,Sprint Mill,SD5295 0980,SD52092 95817,South Lakes,352092,495817,claire cornish,,,06/08/2009,100,,,,67,100,33,,,,,83,100,,,,100,,,,100,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,100,,,17,100,83,,,,,,,,,,,,,17,,,67,75,,,,,,,,,,,,,
,brantwood house,sd3195 1989,sd31220 96020,Lancashire,331220,496020,david cole,,,05/06/2008,,,,,,90,,,,,,90,80,,,,100,,,,100,,40,,,,,,,,,,,70,,,,,30,,,,,,,,,,,,,,,,50,80,,,,,,90,,,,,,,,,90,,,,,,,,,,,,,,40,,,,,,,10,70,,10,,30,,90,,,,,,,,,,90,,10,,20,,50,90,,80,100,60,,,,,,,,,10,,,,60,,,100,100,,,,,10,,,,,,,,
