species,type,target
Agrostis capillaris,grass,
Agrostis stolonifera,grass,
Agrostis spp,grass,
Alopecurus geniculatus,grass,
Alopecurus pratensis,grass,
Anthoxanthum odoratum,grass,
Arrhenatherum elatius,grass,
Avenula pratense,grass,
Avenula pubescens,grass,
Briza media,grass,
Bromus hordaceus,grass,
Cynosurus cristatus,grass,
Dactylis glomerata,grass,
Deschampsia cespitosa,grass,
Elymus repens,grass,
Festuca ovina,grass,
Festuca rubra,grass,
Festulolium loliaceum,grass,
Festuca sp (rubra or ovina),grass,
Glyceria fluitans,grass,
Holcus lanatus,grass,
Holcus mollis,grass,
Lolium perenne,grass,
Molinia caerulea,grass,
Phleum bertolonii,grass,
Phleum pratense,grass,
Poa annua,grass,
Poa pratensis,grass,
Poa spp,grass,
Poa trivialis,grass,
Schedonorus pratensis,grass,
Trisetum flavescens,grass,
Vulpia bromoides,grass,
Achillea millefolium,forb,
Achillea ptarmica,forb,
Ajuga reptans,forb,
Alchemilla glabra,forb,positive
Alchemilla xanthochlora,forb,positive
Alchemilla sp,forb,positive
Anemone nemorosa,forb,positive
Anthriscus sylvestris,forb,negative
Bellis perennis,forb,
Caltha palustris,forb,positive
Campanula rotundifolia,forb,
Cardamine flexuosa,forb,
Cardamine pratensis,forb,
Carex caryophyllea,sedge,
Carex disticha,sedge,
Carex flacca,sedge,positive
Carex hirta,sedge,
Carex nigra,sedge,positive
Carex spp,sedge,
Carex ovalis,sedge,
Carex panicea,sedge,
Centaurea nigra,forb,positive
Cerastium fontanum,forb,
Cerastium glomeratum,forb,negative
Cirsium arvense,forb,negative
Cirsium heterophyllum,forb,
Cirsium palustre,forb,
Cirsium vulgare,forb,negative
Conopodium majus,forb,positive
Crepis capillaris,forb,
Crepis paludosa,forb,
Cruciata laevipes,forb,
Dactylorhiza fuchsii,forb,
Digitalis purpurea,forb,
Epilobium parviflorum,forb,
Equisetum arvense,forb,
Equisetum sylvaticum,forb,
Euphrasia agg.,forb,positive
Filipendula ulmaria,forb,positive
Galium aparine,forb,negative
Galium mollugo,forb,
Galium odoratum,forb,
Galium palustre,forb,
Galium saxatile,forb,
Galium spp,forb,
Gallium verum,forb,
Geranium pratense,forb,positive
Geranium sylvaticum,forb,positive
Heracleum sphondylium,forb,negative
Hieracium pilosella,forb,
Hyacinthoides non scripta,forb,
Hypochaeris radicata,forb,
Juncus acutiflorus,rush,
Juncus articulatus,rush,
Juncus bufonius,rush,
Juncus conglomeratus,rush,negative
Juncus effusus,rush,negative
Juncus inflexus,rush,
Lathyrus pratensis,legume,positive
Leontodon autumnalis,forb,positive
Leontodon hispidus,forb,positive
Leucanthemum vulgare,forb,
Listera ovata,forb,
Lotus corniculatus,legume,positive
Lotus pedunculatus,legume,
Luzula campestris,rush,
Luzula multiflora,rush,
Lychnis flos-cuculi,forb,positive
Medicago spp,forb,negative
Montia fontana,forb,
Myrrhis odorata,forb,
Myosotis arvensis,forb,
Myosotis discolor,forb,
Ophioglossum vulgatum,forb,
Persicaria bistorta,forb,
Plantago lanceolata,forb,
Plantago major,forb,negative
Potentilla erecta,forb,
Primula veris,forb,
Prunella vulgaris,forb,
Pteridium aquilinum,forb,
Ranunculus acris,forb,
Ranunculus bulbosus,forb,
Ranunculus ficaria,forb,
Ranunculus repens,forb,
Rhinanthus minor,parasite,positive
Rumex acetosa,forb,
Rumex crispus,forb,negative
Rumex obtusifolius,forb,negative
Sanguisorba officinalis,forb,positive
Senecio jacobea,forb,negative
Silene dioica,forb,
Sonchus oleraceus,forb,negative
Stachys officianalis,forb,
Stellaria alsine,forb,
Stellaria graminea,forb,
Stellaria holostea,forb,
Stellaria media,forb,negative
Succisa pratensis,forb,
Taraxacum agg.,forb,
Trifolium campestre,legume,
Trifolium dubium,legume,
Trifolium pratense,legume,
Trifolium repens,legume,
Tussilago farfara,forb,
Urtica dioica,forb,negative
Veronica agrestis,forb,
Veronica arvensis,forb,
Veronica chamaedrys,forb,
Veronica filiformis,forb,
Veronica officinalis,forb,
Veronica serpyllifolia,forb,
Veronica spp,forb,
Veronica persica,forb,
Vicia cracca,legume,
Vicia sepium,legume,
Viola spp,forb,